id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
46;ti_Petit Verdot;Petit Verdot;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.994,00;41.706,00;45.425,00;57.029,00;50.933,00;56.031,00;109.942,00;127.549,00;102.402,00;167.522,00;75.010,00;135.770,00;116.266,00;230.640,00;83.552,00;0;228.503,00;277.189,00;0;207.896,00
47;ti_Petite Sirah;Petite Sirah;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;836.158,00;33.693,00;73.075,00;99.786,00;61.205,00;140.196,00;223.434,00;208.765,00;86.215,00;102.830,00;92.638,00;117.771,00;112.839,00;92.374,00;222.324,00;78.455,00;109.791,00;177.654,00;109.805,00;106.091,00;28.210,00;64.909,00;137.568,00;87.550,00;99.577,00;77.759,00;121.525,00;29.457,00;98.861,00;149.196,00;105.934,00;47.834,00;48.483,00;24.564,00;92.818,00;110.361,00;0;174.949,00;198.152,00;0;173.886,53
48;ti_Pinotage;Pinotage;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.861,00;15.236,00;13.483,00;9.527,00;19.945,00;44.697,00;76.979,00;97.269,00;231.618,00;286.349,00;409.495,00;367.315,00;641.203,00;524.028,00;629.762,00;935.337,00;1.851.305,00;1.432.456,00;1.111.531,00;1.181.440,00;1.471.881,00;1.994.817,00;996.781,00;1.113.861,00;1.578.657,00;978.575,00;644.072,00;1.075.863,00;863.296,00;816.883,00;479.202,00;560.195,00;119.773,00;474.105,00;398.794,00;0;302.532,00;1.281.674,00;0;397.456,00
49;ti_Pinot Noir;Pinot Noir;0,00;0,00;13.440,00;10.433,00;18.178,00;14.724,00;2.204,00;1.368,00;1.538,00;2.217,00;20.601,00;7.076,00;10.948,00;14.049,00;37.268,00;127.953,00;202.820,00;125.181,00;350.891,00;360.511,00;409.901,00;320.721,00;421.419,00;467.644,00;573.840,00;505.493,00;604.623,00;594.713,00;276.386,00;471.462,00;621.890,00;479.490,00;496.588,00;443.895,00;1.054.529,00;1.704.403,00;1.161.465,00;1.270.351,00;1.930.823,00;1.387.200,00;1.309.849,00;2.513.274,00;2.799.071,00;2.392.357,00;2.592.701,00;3.125.882,00;1.279.105,00;3.676.000,00;3.240.209,00;0;3.588.106,00;6.184.345,00;0;4.182.134,74
50;ti_Pinot Saint George;Pinot Saint George;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47.600,00;45.000,00;83.400,00;67.500,00;118.160,00;84.550,00;159.380,00;187.870,00;199.540,00;189.480,00;209.420,00;210.980,00;171.750,00;195.560,00;255.810,00;121.430,00;114.360,00;10.840,00;114.110,00;176.810,00;48.830,00;72.560,00;28.170,00;29.180,00;0,00;7.600,00;20.920,00;14.120,00;2.480,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;5.060,00
51;ti_Piriquita;Piriquita;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.845,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
52;ti_Primitivo;Primitivo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;1.650,00
53;ti_Rebo;Rebo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;550,00;3.000,00;7.610,00;4.240,00;1.650,00;27.620,00;16.440,00;19.780,00;13.420,00;22.290,00;12.470,00;44.440,00;94.480,00;0;177.172,00;15.912,00;0;330.784,00
54;ti_Refosco;Refosco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37.155,00;42.207,00;26.537,00;17.415,00;59.340,00;10.430,00;9.466,00;18.705,00;12.120,00;12.080,00;13.240,00;9.310,00;3.260,00;5.240,00;7.320,00;0;0,00;380,00;0;0,00
55;ti_Ro0inella;Ro0inella;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;668,00;648,00;100,00;1.150,00;1.020,00;1.089,00;1.053,00;1.110,00;333,00;1.899,00;1.990,00;0;2.340,00;684.860,00;0;5.280,00
56;ti_Ruby Cabernet;Ruby Cabernet;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;204,00;426,00;21,00;700,00;6.800,00;4.678,00;0,00;0,00;220,00;2.119,00;5.813,00;13.553,00;16.653,00;17.004,00;16.033,00;24.678,00;42.699,00;76.483,00;178.033,00;264.363,00;595.080,00;546.629,00;654.931,00;782.800,00;679.484,00;532.095,00;379.720,00;582.497,00;470.683,00;526.124,00;486.527,00;388.019,00;220.231,00;382.994,00;248.992,00;0;218.783,00;78.412,00;0;163.069,00
57;ti_Sangiovese;Sangiovese;27.566,00;59.316,00;62.175,00;38.315,00;59.834,00;63.279,00;46.663,00;71.194,00;49.178,00;131.721,00;166.706,00;162.563,00;182.898,00;173.104,00;173.005,00;144.839,00;77.509,00;90.701,00;118.475,00;96.497,00;59.620,00;244.050,00;254.588,00;34.344,00;99.024,00;13.099,00;8.042,00;3.312,00;0,00;0,00;684,00;1.306,00;15.572,00;33.400,00;127.049,00;190.769,00;133.402,00;115.475,00;405.224,00;303.438,00;258.484,00;359.833,00;280.756,00;277.679,00;122.632,00;135.962,00;26.601,00;89.404,00;63.832,00;0;85.292,00;3.324.793,00;0;92.540,00
58;ti_Saperavi ;Saperavi ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;13.323,00
59;ti_Sira (falsa);Sira (falsa);3.127.989,00;3.886.509,00;3.299.301,00;2.179.909,00;2.623.809,00;4.303.504,00;3.705.465,00;2.780.195,00;3.004.243,00;3.141.820,00;2.067.161,00;2.015.864,00;2.113.514,00;484.585,00;1.176.744,00;1.272.377,00;695.871,00;520.216,00;228.050,00;191.080,00;182.243,00;46.003,00;45.992,00;43.674,00;4.781,00;5.327,00;0,00;28.137,00;0,00;0,00;0,00;807,00;0,00;559,00;4.792,00;0,00;0,00;0,00;14.145,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
60;ti_Tannat;Tannat;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65.320,00;65.320,00;43.800,00;68.352,00;43.762,00;129.001,00;137.749,00;351.017,00;532.348,00;1.153.030,00;948.885,00;2.153.279,00;1.791.208,00;1.762.327,00;1.511.421,00;1.270.299,00;2.077.578,00;3.487.128,00;2.051.940,00;1.893.300,00;2.285.423,00;3.263.479,00;4.561.255,00;3.055.931,00;3.514.880,00;4.711.255,00;4.199.190,00;2.266.985,00;4.152.135,00;4.585.214,00;3.612.439,00;2.644.014,00;2.761.604,00;985.207,00;3.668.851,00;2.940.306,00;0;3.571.972,00;2.634.802,00;0;5.712.206,92
61;ti_Tempranillo;Tempranillo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.160,00;59.028,00;96.125,00;111.158,00;192.063,00;241.017,00;242.484,00;63.526,00;256.836,00;283.929,00;219.163,00;119.398,00;182.579,00;210.551,00;357.637,00;278.456,00;0;442.330,00;968.038,00;0;375.165,00
62;ti_Teroldego;Teroldego;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.193,00;41.912,00;51.645,00;61.659,00;69.876,00;105.372,00;68.593,00;179.095,00;157.368,00;124.542,00;87.820,00;97.455,00;34.019,00;87.034,00;77.625,00;0;106.764,00;717.757,00;0;123.714,49
63;ti_Torrontes;Torrontes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.300,00;3.090,00;9.580,00;10.070,00;1.490,00;14.630,00;16.350,00;0;9.700,00;0,00;0;23.500,00
64;ti_Tinta Barroca;Tinta Barroca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.520,00;12.870,00;6.710,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
65;ti_Tinta Roriz ;Tinta Roriz ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;3.006,00
66;ti_Touriga Francesa;Touriga Francesa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.775,00;4.680,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
67;ti_Touriga Nacional;Touriga Nacional;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26.448,00;52.099,00;42.376,00;127.462,00;101.376,00;131.833,00;97.629,00;189.928,00;133.820,00;136.565,00;86.460,00;136.611,00;53.552,00;108.245,00;122.015,00;0;150.166,00;38.910,00;0;171.866,00
68;ti_Tinta Madeira;Tinta Madeira;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.508,00;1.733,00;179,00;1.493,00;0,00;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
69;ti_Tintoria;Tintoria;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21.260,00;0,00;14.930,00;0,00;0,00;14.526,00;7.218,00;0,00;0,00;0,00;0,00;3.035,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
70;ti_Trincdeira;Trincdeira;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.996,00;5.780,00;3.591,00;255,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
71;ti_Trousseau;Trousseau;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16.019,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
72;ti_Zinfa0el;Zinfa0el;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;198,00;41.460,00;45.226,00;70.341,00;310.520,00;1.567.535,00;1.216.093,00;1.816.589,00;2.500.275,00;2.517.495,00;1.885.121,00;1.011.625,00;1.689.415,00;593.579,00;84.271,00;189.989,00;140.148,00;74.289,00;60.875,00;1.541,00;479,00;0,00;0,00;0,00;0,00;372,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
73;ti_Outras1;Outras1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.690,00;10.833,00;15.000,00;620,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
74;BRANCASEROSADAS;BRANCAS E ROSADAS;18.858.541,00;22.168.237,00;18.073.470,00;12.213.901,00;25.625.874,00;29.361.700,00;29.805.536,00;32.674.849,00;30.557.815,00;36.390.466,00;28.354.293,00;39.473.039,00;46.757.024,00;32.040.687,00;41.615.070,00;66.103.513,00;47.542.250,00;48.998.099,00;77.578.061,00;76.181.146,00;73.556.749,00;46.526.526,00;53.561.836,00;53.106.956,00;52.888.752,00;46.675.896,00;42.887.098,00;44.119.355,00;32.115.220,00;40.486.844,00;49.613.743,00;31.608.881,00;28.623.940,00;21.018.356,00;27.340.450,00;29.066.571,00;22.335.925,00;28.254.191,00;34.602.464,00;32.556.903,00;22.104.122,00;37.931.015,00;36.519.724,00;36.958.341,00;35.769.155,00;40.130.577,00;18.769.366,00;44.058.213,00;38.722.156,00;0;41.004.206,00;71.266.239,00;0;63.676.297,78
75;br_Aliatico;Aliatico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.587,00;1.850,00;444,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
76;br_Aligote;Aligote;530,00;1.000,00;1.969,00;0,00;618,00;5.009,00;372,00;0,00;720,00;0,00;0,00;482,00;590,00;756,00;938,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.465,00;0,00;0,00;23.716,00;0,00;0,00;0,00;90,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.640,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
77;br_Altesse;Altesse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;248,00;550,00;5.430,00;11.086,00;12.938,00;15.903,00;36.111,00;43.477,00;8.556,00;39.549,00;42.682,00;40.662,00;18.270,00;31.166,00;24.592,00;28.012,00;13.250,00;110.708,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
78;br_Alvarinho;Alvarinho;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;476,00;1.596,00;0,00;2.477,00;1.071,00;1.675,00;1.088,00;6.668,00;5.081,00;12.413,00;16.147,00;9.860,00;16.369,00;41.225,00;32.647,00;0;46.574,00;242.238,00;0;150.467,00
79;br_Arriloba;Arriloba;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.439,00;26.135,00;0,00;36.661,00;34.696,00;32.954,00;49.339,00;45.825,00;27.410,00;22.832,00;51.380,00;35.375,00;33.750,00;38.390,00;40.000,00;28.829,00;31.140,00;34.120,00;17.070,00;5.280,00;2.580,00;0;2.940,00;0,00;0;0,00
80;br_Auxerrois;Auxerrois;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.020,00;0,00;3.057,00;0,00;0,00;0,00;980,00;640,00;0,00;0,00;0,00;361,00;616,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
81;br_Burger;Burger;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.665,00;20.591,00;0,00;4.280,00;0,00;0,00;0,00;0,00;18.394,00;12.215,00;17.093,00;14.640,00;25.067,00;12.295,00;14.427,00;13.028,00;6.507,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
82;br_Chardonnay;Chardonnay;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;766,00;2.590,00;12.370,00;17.191,00;191.484,00;352.746,00;396.887,00;1.016.199,00;1.379.927,00;1.310.807,00;2.185.942,00;3.127.459,00;4.940.497,00;6.118.355,00;3.271.043,00;3.402.706,00;4.745.010,00;2.966.716,00;1.501.537,00;2.873.611,00;2.197.800,00;1.604.484,00;1.568.275,00;1.745.396,00;4.441.390,00;1.830.171,00;1.752.488,00;5.829.449,00;4.812.743,00;3.836.555,00;4.916.344,00;6.347.044,00;6.174.156,00;5.821.514,00;7.253.167,00;3.070.142,00;7.856.910,00;6.068.902,00;0;6.514.864,00;4.200.465,00;0;8.315.602,19
83;br_Chasselas;Chasselas;0,00;0,00;13.255,00;0,00;0,00;0,00;271,00;0,00;0,00;916,00;1.524,00;18.384,00;44.280,00;34.988,00;48.466,00;160.169,00;123.305,00;100.699,00;189.452,00;249.408,00;239.011,00;114.585,00;135.893,00;171.949,00;113.748,00;112.411,00;126.389,00;130.461,00;80.410,00;267.566,00;179.914,00;89.938,00;113.502,00;53.094,00;84.254,00;103.057,00;111.200,00;48.268,00;58.390,00;32.425,00;47.099,00;29.543,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
84;br_Chenin Blanc;Chenin Blanc;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;228,00;14.681,00;14.678,00;40.276,00;110.067,00;97.373,00;226.826,00;217.512,00;386.466,00;504.502,00;383.916,00;515.270,00;461.153,00;557.814,00;493.923,00;588.756,00;398.013,00;492.063,00;496.981,00;343.919,00;231.841,00;44.622,00;386.277,00;519.802,00;400.160,00;355.185,00;362.750,00;347.230,00;73.720,00;212.900,00;257.090,00;264.090,00;146.760,00;173.321,00;60.580,00;266.524,00;387.360,00;0;465.377,00;49.100,00;0;298.406,00
85;br_Clairette(1);Clairette(1);146.617,00;116.887,00;120.166,00;94.006,00;116.154,00;139.266,00;144.596,00;87.281,00;86.242,00;86.382,00;29.871,00;52.133,00;67.028,00;5.834,00;11.168,00;13.929,00;12.182,00;910,00;0,00;0,00;754,00;0,00;0,00;0,00;5.228,00;0,00;153.092,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;949,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;
86;br_Colombard;Colombard;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.480,00;23.000,00;32.200,00;28.460,00;38.460,00;26.500,00;89.500,00;128.370,00;117.660,00;0,00;203.100,00;0,00;171.673,00;282.698,00;343.181,00;276.372,00;208.977,00;153.359,00;451.264,00;654.642,00;518.836,00;593.625,00;879.719,00;717.624,00;479.201,00;445.104,00;773.273,00;673.158,00;563.589,00;512.199,00;201.659,00;535.573,00;522.866,00;0;467.614,00;97.713,00;0;374.902,95
87;br_Flora;Flora;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.568,00;28.570,00;53.233,00;52.143,00;73.563,00;132.433,00;163.005,00;184.768,00;212.220,00;335.242,00;423.725,00;345.158,00;476.088,00;346.727,00;585.629,00;311.974,00;496.779,00;581.824,00;452.383,00;215.546,00;323.181,00;259.473,00;339.979,00;251.511,00;176.396,00;176.229,00;131.760,00;35.860,00;37.620,00;68.260,00;72.410,00;45.240,00;25.090,00;1.050,00;5.810,00;2.060,00;0;0,00;0,00;0;0,00
88;br_Garganega;Garganega;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.010,00;45.800,00;35.110,00;16.970,00;8.530,00;3.170,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;540,00;439.160,00;0;400,00
89;br_Gewurztraminer;Gewurztraminer;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.008,00;1.258,00;2.438,00;8.573,00;88.037,00;206.986,00;314.215,00;740.238,00;1.266.410,00;1.616.040,00;1.648.915,00;1.220.343,00;1.663.736,00;1.206.405,00;751.049,00;844.959,00;838.944,00;417.301,00;293.892,00;474.897,00;291.364,00;161.367,00;92.344,00;253.539,00;315.932,00;142.266,00;284.818,00;196.483,00;155.338,00;105.186,00;206.833,00;327.678,00;239.469,00;162.083,00;207.303,00;85.385,00;223.350,00;208.171,00;0;192.058,00;3.201.453,00;0;239.070,00
90;br_Gouveio;Gouveio;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;596,00;1.452,00;5.312,00;5.848,00;2.090,00;7.830,00;4.358,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
91;br_Gros Manseng;Gros Manseng;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.744,00;4.360,00;2.500,00;5.770,00;1.800,00;3.289,00;4.430,00;7.220,00;0,00;4.640,00;4.830,00;7.410,00;0,00;5.680,00;2.430,00;0;6.296,00;0,00;0;4.510,00
92;br_Italia (Pirovano 65) (PE);Italia (Pirovano 65) (PE);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.650,00;2.230,00;6.405,00;61.799,00;5.671,00;40.230,00;37.820,00;0,00;180,00;2.942,00;0;200,00;1.858.705,00;0;10.350,00
93;br_Maccabeo;Maccabeo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.558,00;0,00;17.670,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
