id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
94;br_Malvasia;Malvasia;878.012,00;611.457,00;763.732,00;645.868,00;795.847,00;1.405.733,00;332.150,00;378.085,00;1.068.838,00;1.747.354,00;2.115.375,00;1.614.552,00;2.522.725,00;1.526.008,00;1.886.676,00;3.422.293,00;2.261.265,00;1.526.629,00;3.392.751,00;3.428.752,00;3.945.671,00;2.006.859,00;2.279.929,00;2.986.640,00;2.786.463,00;2.855.822,00;1.587.944,00;1.957.293,00;1.718.461,00;1.184.410,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
95;br_Malvasia Amarela;Malvasia Amarela;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.040,00;0,00;0,00;0,00;0,00;175.917,00;400.884,00;326.928,00;228.062,00;160.402,00;169.923,00;184.579,00;61.112,00;94.281,00;131.350,00;153.905,00;251.587,00;107.015,00;115.147,00;519.959,00;149.663,00;119.930,00;10.100,00;44.445,00;52.936,00;0;24.440,00;3.980,00;0;67.467,00
96;br_Malvasia Bianca;Malvasia Bianca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.046,00;12.319,00;16.474,00;18.306,00;34.816,00;0,00;0,00;0,00;40.689,00;4.710,00;0,00;1.792.354,00;785.519,00;637.835,00;407.387,00;350.631,00;359.199,00;192.862,00;191.316,00;325.942,00;281.064,00;49.176,00;138.608,00;119.122,00;184.949,00;414.603,00;602.081,00;217.177,00;629.101,00;574.521,00;0;494.343,00;1.165.104,00;0;80.786,24
97;br_Malvasia Chianti;Malvasia Chianti;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.411,00;24.030,00;14.705,00;15.235,00;4.730,00;0,00;2.142,00;0,00;0,00;5.061,00;7.632,00;0,00;1.314,00;0,00;0,00;0;0,00;0,00;0;0,00
98;br_Malvasia Verde;Malvasia Verde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.637,00;0,00;0,00;10.510,00;0,00;65.144,00;0,00;0,00;0,00;0,00;173.550,00;60.915,00;244.313,00;201.609,00;165.991,00;285.416,00;145.111,00;145.670,00;253.369,00;289.366,00;331.718,00;83.565,00;60.776,00;10.979,00;18.690,00;8.825,00;5.108,00;2.460,00;10.457,00;15.220,00;0;26.597,00;3.578,00;0;46.510,00
99;br_Malvasia di Ca0ia;Malvasia di Ca0ia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.318,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;403.192,00;273.020,00;135.690,00;134.390,00;146.558,00;160.845,00;228.221,00;283.476,00;628.749,00;739.588,00;649.194,00;1.727.224,00;1.825.193,00;1.692.882,00;1.888.539,00;2.512.864,00;1.268.750,00;2.785.543,00;2.557.871,00;0;3.389.071,00;1.544.223,00;0;6.869.070,67
100;br_Malvasia Istriana;Malvasia Istriana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1.090,00;950,00;0;0,00
101;br_Mistura de uvas viníferas;Mistura de uvas viníferas branco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;12.278,00;0;41.078,00
102;br_Mistura de uvas viníferas;Mistura de uvas viníferas rosado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;325.922,00;0;1.100,00
103;br_Moscato_branco;Moscato Branco;5.772.931,00;5.334.475,00;5.378.768,00;3.490.996,00;10.348.989,00;8.716.599,00;9.297.817,00;10.212.209,00;8.696.749,00;11.743.280,00;7.650.069,00;12.114.399,00;13.984.946,00;9.067.746,00;11.156.471,00;18.464.456,00;12.858.661,00;15.436.116,00;22.528.034,00;22.513.823,00;19.690.691,00;9.533.114,00;19.854.192,00;15.255.972,00;14.611.629,00;14.045.052,00;14.374.633,00;13.576.155,00;9.495.554,00;19.636.525,00;19.535.723,00;12.038.417,00;13.809.332,00;9.788.714,00;13.066.588,00;10.145.908,00;10.748.618,00;15.717.087,00;14.744.061,00;14.294.841,00;8.595.609,00;16.871.284,00;13.322.429,00;13.136.399,00;12.669.980,00;12.788.740,00;6.068.181,00;14.475.142,00;11.202.231,00;0;11.868.851,00;12.100.995,00;0;20.657.082,42
104;br_Moscato Canelli;Moscato Canelli;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.554,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.581,00;19.758,00;1.059,00;13.112,00;461.612,00;57.796,00;84.053,00;65.107,00;61.009,00;55.811,00;92.887,00;123.255,00;64.800,00;85.785,00;72.462,00;30.378,00;57.083,00;121.008,00;0;138.482,00;109.714,00;0;351.554,75
105;br_Moscato Giallo;Moscato Giallo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.217,00;17.700,00;115.727,00;357.251,00;349.892,00;691.230,00;703.485,00;776.846,00;1.173.519,00;1.122.457,00;1.446.926,00;1.151.570,00;1.949.920,00;1.641.498,00;1.813.522,00;1.742.605,00;1.785.956,00;813.952,00;2.091.933,00;1.590.531,00;0;1.597.829,00;6.365.205,00;0;3.111.774,33
106;br_Moscato Nazareno;Moscato Nazareno;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;287.347,00;401.583,00;503.500,00;948.435,00;921.620,00;544.530,00;616.480,00;1.035.000,00;858.910,00;690.210,00;882.104,00;633.606,00;831.206,00;886.808,00;886.075,00;361.638,00;890.655,00;639.810,00;0;554.762,00;77.912,00;0;504.982,00
107;br_Moscato Bianco R2;Moscato Bianco R2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;287.021,00;443.153,00;331.718,00;406.650,00;430.599,00;510.594,00;317.404,00;808.748,00;618.266,00;678.267,00;770.265,00;863.910,00;257.647,00;868.260,00;867.445,00;0;864.917,00;2.920.047,00;0;1.211.053,08
108;br_Moscato de Alexa0ria;Moscato de Alexa0ria;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.550,00;45.277,00;32.129,00;51.979,00;85.756,00;87.359,00;41.426,00;105.384,00;184.748,00;211.532,00;160.290,00;192.945,00;53.037,00;115.910,00;95.647,00;0;153.442,00;431.897,00;0;404.111,00
109;br_Moscato Rosado;Moscato Rosado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.105,00;1.872,00;13.219,00;0,00;0,00;0,00;5.310,00;1.226,00;0,00;0,00;2.396,00;7.617,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;500,00;15.030,00;0;900,00
110;br_Muscat a Petits Grains;Muscat à Petits Grains;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.000,00;0;8.030,00;895.346,00;0;6.000,00
111;br_Muller Thurgau;Muller Thurgau;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.028,00;7.026,00;11.881,00;17.629,00;17.142,00;36.313,00;19.915,00;26.382,00;31.497,00;40.535,00;27.587,00;15.307,00;19.699,00;15.232,00;19.128,00;22.207,00;12.530,00;7.770,00;3.820,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
112;br_Muscadelle;Muscadelle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.007,00;5.536,00;5.515,00;4.425,00;5.430,00;4.215,00;600,00;842,00;1.342,00;2.489,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
113;br_Ora;Ora;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.045,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
114;br_Palomino;Palomino;0,00;0,00;0,00;0,00;0,00;715,00;0,00;1.156,00;1.430,00;2.507,00;3.917,00;5.329,00;5.687,00;7.328,00;19.500,00;30.395,00;46.533,00;50.919,00;62.679,00;64.664,00;58.657,00;50.188,00;75.366,00;107.812,00;16.137,00;17.661,00;29.436,00;16.819,00;13.406,00;19.023,00;28.451,00;19.125,00;7.959,00;5.500,00;4.530,00;4.184,00;2.270,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
115;br_Petit Manseng;Petit Manseng;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.430,00;0;0,00;570,00;0;3.915,00
116;br_Peverella;Peverella;2.084.128,00;2.117.931,00;1.087.692,00;1.416.283,00;1.596.138,00;2.648.598,00;1.908.436,00;1.389.009,00;2.110.072,00;1.959.410,00;1.047.031,00;1.508.861,00;2.423.524,00;1.375.905,00;1.288.629,00;2.630.718,00;2.036.768,00;1.683.632,00;1.848.715,00;1.943.429,00;2.072.218,00;1.369.962,00;830.149,00;1.002.158,00;1.590.524,00;781.672,00;541.364,00;522.848,00;543.544,00;224.731,00;556.215,00;325.243,00;282.527,00;159.457,00;189.972,00;192.474,00;137.031,00;111.726,00;103.270,00;48.994,00;28.945,00;64.218,00;43.656,00;44.137,00;28.452,00;40.719,00;5.557,00;16.350,00;33.439,00;0;15.858,00;70.925,00;0;45.898,00
117;br_Pinot Blanc;Pinot Blanc;4.000,00;0,00;0,00;0,00;0,00;479,00;2.066,00;11.984,00;21.313,00;930,00;900,00;572,00;1.825,00;9.076,00;15.611,00;129.010,00;168.354,00;229.908,00;413.142,00;516.219,00;801.355,00;779.277,00;356.714,00;496.546,00;563.207,00;519.140,00;536.426,00;421.175,00;257.467,00;229.112,00;486.786,00;227.064,00;170.590,00;63.768,00;77.942,00;60.704,00;12.245,00;14.620,00;40.109,00;8.030,00;16.940,00;26.307,00;10.174,00;8.720,00;5.980,00;7.218,00;0,00;0,00;17.028,00;0;3.000,00;0,00;0;1.310,00
118;br_Pinot Gris;Pinot Gris;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.680,00;4.771,00;4.324,00;5.821,00;4.054,00;4.091,00;1.548,00;3.358,00;992,00;0,00;257,00;0,00;0,00;0,00;0,00;2.904,00;23.206,00;41.070,00;28.779,00;41.660,00;52.000,00;36.036,00;158.788,00;187.685,00;126.844,00;118.123,00;118.118,00;67.394,00;165.697,00;98.728,00;0;183.818,00;79.922,00;0;178.683,00
119;br_Prosecco;Prosecco;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.771,00;8.211,00;9.327,00;108.830,00;122.524,00;235.512,00;449.028,00;401.705,00;364.665,00;266.752,00;249.335,00;319.841,00;358.042,00;269.092,00;325.159,00;319.186,00;249.502,00;228.568,00;455.579,00;365.590,00;360.238,00;341.380,00;395.644,00;789.457,00;917.214,00;910.158,00;1.930.887,00;2.169.397,00;1.345.161,00;2.720.048,00;2.420.715,00;2.852.648,00;3.030.347,00;3.319.779,00;1.873.735,00;3.342.655,00;4.018.371,00;0;4.393.451,00;184.218,00;0;7.856.145,61
120;br_Red Veltliner;Red Veltliner;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.156,00;4.240,00;1.499,00;2.440,00;4.689,00;2.522,00;654,00;1.512,00;0,00;0,00;0,00;0,00;0,00;5.917,00;9.016,00;10.527,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
121;br_Riesling Italico;Riesling Italico;413.149,00;404.159,00;304.688,00;402.329,00;1.413.722,00;1.549.553,00;1.505.603,00;1.782.484,00;1.609.807,00;1.886.081,00;2.360.144,00;3.447.930,00;3.752.318,00;3.402.460,00;4.557.416,00;7.207.668,00;4.267.206,00;8.110.697,00;10.052.438,00;9.385.386,00;11.632.192,00;7.151.423,00;7.351.738,00;7.711.434,00;8.114.641,00;8.708.541,00;8.270.792,00;8.184.477,00;4.532.556,00;6.573.788,00;8.855.066,00;5.573.372,00;3.821.716,00;3.135.257,00;2.964.308,00;3.496.056,00;1.901.717,00;1.960.822,00;2.698.892,00;2.466.530,00;2.120.405,00;2.618.429,00;3.172.992,00;3.069.854,00;2.705.224,00;3.468.606,00;1.697.248,00;4.283.929,00;3.724.926,00;0;3.020.102,00;20.399.648,00;0;4.642.665,90
122;br_Riesling Renano;Riesling Renano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.224,00;163.005,00;426.596,00;0,00;1.505.571,00;2.105.616,00;501.972,00;456.345,00;987.266,00;1.388.349,00;480.873,00;831.082,00;609.615,00;616.675,00;859.540,00;479.779,00;380.135,00;212.917,00;154.533,00;95.021,00;282.012,00;252.740,00;213.256,00;242.940,00;243.690,00;90.530,00;96.828,00;125.166,00;195.120,00;99.230,00;94.276,00;153.605,00;53.550,00;105.100,00;121.020,00;0;108.260,00;13.385.970,00;0;126.736,45
123;br_Sauvignon Blanc(2);Sauvignon Blanc(2);2.819,00;5.492,00;49.244,00;12.886,00;71.812,00;43.487,00;66.163,00;1.161.046,00;1.267.449,00;710.596,00;677.739,00;880.228,00;122.285,00;109.219,00;65.207,00;190.061,00;250.087,00;251.663,00;387.957,00;594.507,00;764.746,00;964.644,00;677.896,00;1.108.383,00;1.061.444,00;1.007.060,00;945.476,00;1.022.535,00;722.142,00;840.555,00;1.156.987,00;805.245,00;544.973,00;441.667,00;690.146,00;738.053,00;606.465,00;618.034,00;608.983,00;657.286,00;350.866,00;612.060,00;855.045,00;633.633,00;515.939,00;614.222,00;295.942,00;677.028,00;517.760,00;0;818.549,00;728.633,00;0;818.121,85
124;br_Sauvignon Gris;Sauvignon Gris;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.213,00;5.534,00;2.147,00;3.629,00;8.513,00;2.854,00;3.737,00;921,00;1.504,00;0,00;0,00;0,00;0;1.028,00;0,00;0;0,00
125;br_Seara Nova;Seara Nova;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.300,00;165,00;425,00;1.640,00;965,00;2.273,00;5.965,00;5.941,00;9.338,00;6.958,00;17.061,00;17.691,00;53.320,00;90.957,00;90.729,00;72.809,00;3.707,00;9.550,00;18.890,00;9.120,00;0,00;824,00;6.597,00;3.900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
126;br_Semillon;Semillon;1.916,00;0,00;5.172,00;20.447,00;91.675,00;99.569,00;227.838,00;371.084,00;969.832,00;1.125.402,00;1.150.235,00;1.547.289,00;2.699.929,00;2.868.842,00;3.930.216,00;7.393.292,00;6.503.648,00;6.382.755,00;9.118.811,00;8.974.449,00;9.189.656,00;4.808.084,00;4.049.116,00;4.720.136,00;4.777.683,00;4.168.130,00;4.078.162,00;3.656.512,00;2.794.570,00;2.710.748,00;4.310.660,00;2.778.595,00;2.037.827,00;1.129.580,00;1.284.398,00;1.375.957,00;600.858,00;408.016,00;562.371,00;382.995,00;165.518,00;312.204,00;336.252,00;335.323,00;149.939,00;177.672,00;57.635,00;188.211,00;225.952,00;0;193.760,00;4.000,00;0;112.905,00
127;br_Schonburger;Schonburger;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.155,00;6.505,00;15.239,00;17.687,00;16.930,00;0,00;14.538,00;21.348,00;14.087,00;5.194,00;0,00;0,00;7.454,00;14.354,00;0;14.499,00;5.500,00;0;12.687,00
128;br_Sylvaner;Sylvaner;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;159,00;1.774,00;5.468,00;11.068,00;14.451,00;34.377,00;41.038,00;73.591,00;66.793,00;51.359,00;112.726,00;141.263,00;166.398,00;105.962,00;120.621,00;142.734,00;134.300,00;88.474,00;54.173,00;46.259,00;764.782,00;84.391,00;129.489,00;50.867,00;54.811,00;14.085,00;11.273,00;12.927,00;4.530,00;4.693,00;6.587,00;492,00;0,00;1.435,00;144,00;155,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;2.342,00
129;br_Tocai Friulano;Tocai Friulano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;923,00;1.821,00;619,00;124,00;3.467,00;3.118,00;6.143,00;3.122,00;8.198,00;7.904,00;6.530,00;3.357,00;811,00;675,00;752,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;6.150,00
130;br_Trebbiano;Trebbiano;7.277.270,00;12.225.175,00;9.579.813,00;5.722.394,00;10.863.544,00;14.335.368,00;14.078.518,00;15.228.827,00;14.379.466,00;16.868.971,00;13.100.126,00;17.883.890,00;20.630.475,00;13.105.231,00;17.582.216,00;24.178.593,00;16.567.251,00;12.854.969,00;23.541.232,00;21.370.782,00;18.845.488,00;13.065.462,00;10.465.345,00;8.890.736,00;8.807.970,00;7.282.643,00;5.201.279,00;6.147.074,00;5.416.678,00;4.189.110,00;5.413.475,00;3.158.394,00;2.430.532,00;1.454.210,00;2.043.524,00;1.974.463,00;1.376.390,00;1.711.643,00;1.846.212,00;1.578.176,00;1.338.957,00;2.439.317,00;2.576.020,00;2.876.041,00;3.342.859,00;3.830.336,00;2.083.491,00;3.892.478,00;4.504.485,00;0;4.682.326,00;67.720,00;0;5.954.818,45
131;br_Trebbiano Toscano;Trebbiano Toscano;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.694,00;100.047,00;18.110,00;0;122.512,00;184.310,00;0;139.845,00
132;br_Verdea;Verdea;0,00;6.184,00;0,00;1.864,00;3.216,00;4.264,00;2.648,00;0,00;1.252,00;182,00;0,00;0,00;305,00;1.315,00;0,00;0,00;809,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24.667,00;0,00;1.837,00;0,00;0,00;0,00;0,00;0,00;52,00;0,00;60,00;4.620,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
133;br_Verdelho;Verdelho;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.900,00;7.785,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.420,00;14.339,00;0,00;0,00;0,00;0,00;0,00;1.800,00;0;1.540,00;15.503,00;0;2.080,00
134;br_Verdiso;Verdiso;7.950,00;770,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11.497,00;10.279,00;24.470,00;9.251,00;46.048,00;23.684,00;0,00;0,00;5.895,00;0,00;970,00;0,00;2.670,00;0,00;0,00;0,00;0,00;1.250,00;0,00;1.654,00;1.435,00;1.370,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
135;br_Vermentino;Vermentino;20.461,00;6.097,00;8.945,00;6.153,00;8.954,00;7.070,00;6.478,00;5.649,00;3.802,00;3.848,00;2.446,00;2.487,00;717,00;17.866,00;29.380,00;32.124,00;22.409,00;22.566,00;43.631,00;40.395,00;29.830,00;22.976,00;29.997,00;31.240,00;28.165,00;38.338,00;16.910,00;20.335,00;1.130,00;12.833,00;17.835,00;11.510,00;8.960,00;7.612,00;6.090,00;6.340,00;1.040,00;660,00;3.090,00;1.940,00;560,00;5.480,00;4.844,00;3.220,00;1.890,00;790,00;0,00;0,00;0,00;0;0,00;0,00;0;28.218,00
136;br_Vernaccia;Vernaccia;122.467,00;190.297,00;111.691,00;65.995,00;114.553,00;135.975,00;142.787,00;170.590,00;108.824,00;252.585,00;197.401,00;366.796,00;428.996,00;383.615,00;826.441,00;1.450.663,00;978.903,00;1.124.796,00;1.701.470,00;1.300.388,00;1.603.877,00;1.147.439,00;821.716,00;940.415,00;898.589,00;674.738,00;458.887,00;509.954,00;319.538,00;315.739,00;501.737,00;258.814,00;125.716,00;128.334,00;94.237,00;57.162,00;34.760,00;32.672,00;21.146,00;14.498,00;6.520,00;4.930,00;3.780,00;7.970,00;4.150,00;4.760,00;0,00;5.100,00;4.020,00;0;95.680,00;0,00;0;800,00
137;br_Viogner ;Viogner ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;21.794,25
138;br_Viognier;Viognier;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;570,00;3.219,00;16.581,00;37.628,00;41.338,00;49.935,00;76.145,00;144.979,00;200.288,00;247.081,00;149.333,00;285.217,00;95.231,00;365.103,00;470.555,00;0;531.026,00;78.305,00;0;974.004,64
139;br_Outras(3);Outras(3);2.126.291,00;1.148.313,00;648.335,00;334.680,00;200.652,00;270.015,00;2.089.793,00;1.875.445,00;231.860,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;793,00;1.304,00;5.724,00;0,00;0,00;26.796,00;0,00;16.341,00;18.318,00;0,00;34.280,00;49.983,00;0,00;410,00;73.487,00;23.457,00;240.894,00;258.677,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
