id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;VINHO DE MESA;VINHO DE MESA;217.208.604,00;154.264.651,00;146.953.297,00;116.710.345,00;193.875.345,00;177.401.209,00;144.565.438,00;195.359.778,00;200.053.669,00;211.252.982,00;130.308.185,00;186.129.728,00;234.754.564,00;120.261.544,00;177.680.331,00;275.338.955,00;157.711.522,00;150.467.184,00;244.791.058,00;181.801.961,00;210.548.199,00;126.768.254,00;163.248.419,00;171.754.995,00;202.073.263,00;214.788.304,00;152.917.771,00;182.816.047,00;150.814.943,00;226.520.776,00;273.025.576,00;228.932.458,00;259.589.740,00;202.545.724,00;313.962.284,00;226.080.432,00;185.100.887,00;275.287.908,00;287.506.811,00;205.418.206,00;195.267.980,00;257.840.749,00;212.777.037,00;196.904.222,00;196.173.123,00;210.308.560,00;86.319.015,00;255.015.187,00;218.375.636,00;144.629.737,00;124.200.414,00;173.899.995,00;195.031.611,00;169.762.429,00
2;vm_Tinto;Tinto;174.224.052,00;121.133.369,00;118.180.926,00;88.589.019,00;146.544.484,00;144.274.134,00;118.360.170,00;154.801.826,00;162.917.363,00;154.736.439,00;101.659.755,00;134.156.175,00;183.349.460,00;87.080.528,00;119.615.028,00;216.732.390,00;118.766.694,00;97.841.160,00;173.747.942,00;136.931.173,00;154.359.897,00;90.320.836,00;118.638.894,00;125.172.218,00;161.479.717,00;167.174.017,00;115.896.909,00;116.458.841,00;102.127.865,00;168.149.414,00;208.242.670,00;175.267.437,00;215.892.333,00;155.513.687,00;254.172.425,00;180.698.666,00;149.552.555,00;228.156.220,00;241.057.928,00;164.143.454,00;157.290.088,00;210.113.358,00;175.875.432,00;163.111.797,00;157.776.363,00;169.811.472,00;75.279.191,00;1.365.957,00;188.270.142,00;121.045.115,00;103.916.391,00;146.075.996,00;162.844.214,00;139.320.884,00
3;vm_Branco;Branco;748.400,00;1.160.500,00;1.812.367,00;243.900,00;4.138.768,00;1.441.507,00;1.871.473,00;4.954.387,00;5.079.748,00;7.146.395,00;5.363.452,00;12.547.739,00;15.782.499,00;12.191.896,00;19.502.230,00;23.010.666,00;16.872.183,00;27.497.857,00;32.660.045,00;24.603.265,00;33.512.030,00;25.046.588,00;25.446.255,00;31.986.075,00;28.291.853,00;15.472.732,00;24.073.622,00;41.842.945,00;32.140.249,00;42.528.150,00;44.902.276,00;44.322.836,00;35.329.657,00;40.861.639,00;51.719.967,00;39.212.146,00;31.738.390,00;42.118.552,00;42.942.053,00;39.211.278,00;35.408.083,00;46.007.504,00;34.938.249,00;32.066.403,00;37.438.069,00;39.557.250,00;10.727.099,00;217.527.985,00;29.229.970,00;22.032.828,00;19.568.734,00;26.432.799,00;30.198.430,00;27.910.299,00
4;vm_Rosado;Rosado;42.236.152,00;31.970.782,00;26.960.004,00;27.877.426,00;43.192.093,00;31.685.568,00;24.333.795,00;35.603.565,00;32.056.558,00;49.370.148,00;23.284.978,00;39.425.814,00;35.622.605,00;20.989.120,00;38.563.073,00;35.595.899,00;22.072.645,00;25.128.167,00;38.383.071,00;20.267.523,00;22.676.272,00;11.400.830,00;19.163.270,00;14.596.702,00;12.301.693,00;32.141.555,00;12.947.240,00;24.514.261,00;16.546.829,00;15.843.212,00;19.880.630,00;9.342.185,00;8.367.750,00;6.170.398,00;8.069.892,00;6.169.620,00;3.809.942,00;5.013.136,00;3.506.830,00;2.063.474,00;2.569.809,00;1.719.887,00;1.963.356,00;1.726.022,00;958.691,00;939.838,00;312.725,00;36.121.245,00;875.524,00;1.551.794,00;715.289,00;1.391.200,00;1.988.968,00;2.531.246,00
5;VINHO FINO DE MESA (VINIFERA);VINHO FINO DE MESA (VINIFERA);23.899.346,00;23.586.062,00;21.078.771,00;12.368.410,00;31.644.124,00;39.424.590,00;34.500.590,00;41.264.971,00;36.750.933,00;46.129.710,00;31.740.663,00;49.348.047,00;57.453.581,00;40.616.812,00;48.289.279,00;67.035.393,00;48.559.180,00;47.301.266,00;76.560.765,00;72.772.144,00;73.689.124,00;45.519.167,00;52.612.778,00;53.054.225,00;58.733.741,00;47.126.229,00;45.325.058,00;46.988.414,00;33.898.630,00;45.830.497,00;56.209.739,00;34.159.277,00;31.655.226,00;29.551.457,00;42.902.608,00;45.453.898,00;32.168.977,00;43.176.484,00;47.334.501,00;39.900.568,00;24.805.713,00;47.598.471,00;45.200.730,00;45.782.530,00;38.464.314,00;37.148.982,00;18.070.626,00;44.537.870,00;38.707.220,00;37.615.422,00;32.516.686,00;43.474.998,00;47.511.796,00;46.268.556,00
6;vv_Tinto;Tinto;7.591.557,00;7.265.666,00;6.782.837,00;3.419.625,00;10.047.658,00;14.731.106,00;12.405.154,00;16.131.758,00;15.000.671,00;14.356.453,00;9.296.741,00;16.036.963,00;19.987.588,00;14.340.514,00;15.777.602,00;19.347.979,00;12.282.967,00;10.920.073,00;18.690.518,00;16.140.751,00;17.750.504,00;12.001.895,00;13.449.911,00;12.119.485,00;15.646.861,00;11.924.291,00;12.819.866,00;12.590.647,00;8.716.140,00;14.640.657,00;18.545.613,00;13.587.683,00;13.619.033,00;15.357.576,00;23.062.182,00;25.409.805,00;18.868.108,00;24.786.071,00;27.583.032,00;18.209.043,00;11.401.406,00;24.104.740,00;24.027.589,00;23.156.458,00;17.208.996,00;16.745.896,00;8.774.847,00;21.442.212,00;19.118.254,00;17.389.377,00;15.451.883,00;20.433.249,00;24.417.918,00;23.615.783,00
7;vv_Branco;Branco;15.562.889,00;15.655.709,00;13.289.304,00;7.930.070,00;18.927.471,00;21.933.695,00;19.874.659,00;20.409.231,00;17.640.081,00;25.727.132,00;19.326.572,00;27.528.276,00;34.423.412,00;24.164.361,00;30.395.959,00;44.679.484,00;34.794.145,00;35.432.544,00;56.441.847,00;54.983.093,00;52.080.420,00;33.307.472,00;38.856.367,00;40.415.898,00;42.419.680,00;34.209.738,00;31.893.892,00;33.792.167,00;24.384.090,00;30.674.840,00;36.955.126,00;20.393.594,00;17.911.689,00;14.058.481,00;19.803.647,00;20.012.363,00;13.249.969,00;17.598.428,00;18.812.571,00;21.366.975,00;13.013.027,00;22.739.426,00;20.647.238,00;21.906.349,00;20.054.804,00;19.561.966,00;8.705.066,00;21.928.400,00;18.297.257,00;18.193.055,00;15.487.915,00;20.867.999,00;20.896.613,00;20.693.437,00
8;vv_Rosado;Rosado;744.900,00;664.687,00;1.006.630,00;1.018.715,00;2.668.995,00;2.759.789,00;2.220.777,00;4.723.982,00;4.110.181,00;6.046.125,00;3.117.350,00;5.782.808,00;3.042.581,00;2.111.937,00;2.115.718,00;3.007.930,00;1.482.068,00;948.649,00;1.428.400,00;1.648.300,00;3.858.200,00;209.800,00;306.500,00;518.842,00;667.200,00;992.200,00;611.300,00;605.600,00;798.400,00;515.000,00;709.000,00;178.000,00;124.504,00;135.400,00;36.779,00;31.730,00;50.900,00;791.985,00;938.898,00;324.550,00;391.280,00;754.305,00;525.903,00;719.723,00;1.200.514,00;841.120,00;590.713,00;1.167.258,00;1.291.709,00;2.032.990,00;1.576.888,00;2.173.750,00;2.197.265,00;1.959.336,00
9;SUCO;SUCO;1.097.771,00;2.296.654,00;3.509.440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.631.667,00;4.313.768,00;5.469.016,00;7.586.870,00;6.923.183,00;10.423.252,00;11.324.462,00;10.797.624,00;12.031.753,00;13.343.721,00;12.893.959,00;9.189.900,00;13.409.014,00;13.904.186,00;15.532.303,00;17.722.779,00;17.987.182,00;20.228.691,00;12.420.745,00;24.078.112,00;27.960.596,00;31.361.096,00;30.136.844,00;35.647.994,00;39.715.098,00;50.125.944,00;69.364.324,00;70.066.732,00;64.879.790,00;76.723.537,00;87.894.468,00;42.210.389,00;77.161.971,00;65.467.906,00;77.805.352,00;69.261.287,00;100.932.264,00;65.809.079,00;67.045.238,00
10;su_Suco de uva simples;Suco de uva integral;1.097.771,00;2.296.654,00;3.509.440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.544.706,00;2.116.507,00;2.262.240,00;2.018.000,00;2.824.600,00;2.848.560,00;3.609.000,00;4.033.698,00;3.800.800,00;3.884.000,00;4.123.776,00;2.407.900,00;2.884.969,00;3.904.186,00;4.132.303,00;3.546.779,00;5.196.430,00;5.505.889,00;1.372.381,00;6.222.380,00;7.103.175,00;13.946.491,00;10.147.037,00;11.817.941,00;16.034.003,00;26.887.259,00;39.487.800,00;31.908.829,00;33.673.396,00;43.331.223,00;52.233.155,00;31.117.869,00;46.865.626,00;34.367.996,00;50.239.767,00;40.718.523,00;68.038.479,00;35.248.305,00;38.122.173,00
11;su_Suco concentrado;Suco de uva concentrado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.086.961,00;2.197.261,00;3.206.776,00;5.568.870,00;4.098.583,00;7.574.692,00;7.715.462,00;6.763.926,00;8.230.953,00;9.459.721,00;8.770.183,00;6.782.000,00;10.524.045,00;10.000.000,00;11.400.000,00;14.176.000,00;12.790.752,00;14.722.802,00;11.048.364,00;17.855.732,00;19.513.244,00;17.414.605,00;19.280.709,00;23.014.646,00;23.006.457,00;23.238.685,00;29.564.324,00;37.624.855,00;31.206.394,00;33.392.314,00;35.661.313,00;11.092.520,00;30.059.271,00;31.099.910,00;26.861.009,00;27.963.865,00;32.131.218,00;29.892.550,00;28.216.760,00
12;su_Suco de uva adoçado;Suco de uva adoçado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.344.177,00;0,00;709.098,00;815.407,00;674.638,00;0,00;312.200,00;533.048,00;0,00;0,00;0,00;0,00;177.774,00;0,00;120.320,00;107.289,00;40.450,00;79.130,00;94.587,00
13;su_Suco de uva orgânico;Suco de uva orgânico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;471.610,00;722.117,00;589.094,00;611.718,00
14;su_Suco de uva reconstituído;Suco de uva reconstituído;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59.300,00;0,00;584.256,00;0,00;0,00;0,00;0,00
15;DERIVADOS;DERIVADOS;14.164.329,00;13.280.518,00;12.314.509,00;28.317.919,00;47.904.934,00;53.633.143,00;22.925.012,00;24.015.856,00;41.607.777,00;35.370.846,00;37.553.414,00;52.530.037,00;37.506.770,00;27.314.628,00;17.331.744,00;17.336.419,00;14.785.645,00;14.905.862,00;19.644.584,00;12.004.574,00;16.191.621,00;20.352.398,00;29.469.940,00;17.573.100,00;16.053.642,00;23.637.100,00;12.754.798,00;24.553.317,00;14.693.351,00;23.422.306,00;25.959.016,00;15.498.842,00;28.122.348,00;24.108.352,00;28.471.858,00;25.541.605,00;27.752.531,00;42.011.603,00;59.622.293,00;56.787.892,00;51.210.756,00;85.748.723,00;100.757.101,00;64.072.127,00;62.907.281,00;107.349.704,00;53.950.314,00;109.116.761,00;95.202.101,00;142.888.747,00;92.533.804,00;169.031.493,00;138.501.226,00;174.716.647,00
16;de_Espumante;Espumante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76.000,00;0,00;0,00;0,00;11.000,00;0,00;0,00;0,00;0,00;0,00;0,00;6.900,00;71.410,00;0,00;0,00;0,00;3.999,00;1.920,00;26.600,00;0,00;88.690,00;0,00;10.125,00;26.361,00;17.200,00;30.275,00;2.700,00;23.750,00;1.500,00;11.280,00;68.500,00;52.176,00;32.399,00;70.091,00;70.759,00;65.525,00
17;de_Espumante moscatel;Espumante moscatel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;276.099,00;0,00;147.600,00;204.000,00;514.480,00;320.514,00;589.332,00;1.113.462,00;1.190.500,00;703.393,00;219.100,00;139.775,00;159.781,00;100.000,00;110.100,00;100.000,00;152.375,00;326.200,00;515.800,00;689.139,00;11.950,00;27.200,00;14.744,00
18;de_Base espumante;Base espumante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;239.000,00;0,00;78.250,00;220.120,00;335.850,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.475.049,00;0,00;0,00
19;de_Base espumante moscatel;Base espumante moscatel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;98.900,00;212.400,00;362.589,00;111.200,00;474.721,00;442.150,00;1.144.508,00;2.749.540,00;2.798.908,00;1.470.700,00;1.808.044,00;1.607.727,00;1.325.700,00;1.965.629,00;1.320.650,00;1.962.443,00;3.006.705,00;5.549.471,00;6.308.043,00;6.734.590,00
